Internal;External
NVLinkFabric;NVLinkFabric_0
NVLink[0-39];NVLink_[0-39]
ERoT_HMC;ERoT_BMC_0
HMC;BMC_0
Baseboard;Baseboard_0
ERoT_FPGA;ERoT_FPGA_0
ERoT_GPU[0-7];ERoT_GPU_SXM_[0-3:5-8,4-7:1-4]
ERoT_NVSwitch[0-3];ERoT_NVSwitch_[0-3]
ERoT_PCIeSwitch[0];ERoT_PCIeSwitch_[0]
FPGA;FPGA_0
GPU[0-7];GPU_SXM_[0-3:5-8,4-7:1-4]
GPUDRAM[0-7];GPU_SXM_[0-3:5-8,4-7:1-4]_DRAM_0
HSC_[0-9];HSC_[0-9]
InletSensor;InletSensor
NVSwitch[0-3];NVSwitch_[0-3]
PCIeRetimer[0-7];PCIeRetimer_[0-7]
PCIeSwitch[0];PCIeSwitch_[0]
StandbyHSC_[0];StandbyHSC_[0]
VR;VR
